age,job,marital,education,race,default,balance,housing,contact,duration,contactndays,gender ,signed up
48,services,married,secondary,,yes,-20,no,cellular,142,-1,,0
33,blue-collar,married,primary,,no,496,no,cellular,151,-1,,0
55,admin.,married,secondary,,no,602,no,cellular,390,150,,1
64,retired,married,tertiary,,no,14170,no,cellular,62,-1,,0
52,management,divorced,tertiary,,no,590,no,unknown,354,-1,,0
56,blue-collar,married,primary,,no,284,no,telephone,124,204,,0
54,admin.,divorced,secondary,,no,1693,no,cellular,1277,87,,1
56,services,divorced,secondary,,no,935,no,cellular,112,227,,0
30,services,divorced,secondary,,no,21,no,cellular,49,-1,,0
32,blue-collar,single,secondary,,no,427,no,unknown,11,-1,,0
53,management,married,tertiary,,no,1619,no,unknown,89,-1,,0
37,services,married,secondary,,no,40,no,unknown,42,-1,,0
47,technician,married,secondary,,no,147,no,cellular,136,-1,,0
30,blue-collar,married,secondary,,no,365,no,unknown,381,-1,,0
30,admin.,single,unknown,,yes,1,no,unknown,307,-1,,0
30,management,married,tertiary,,no,562,no,cellular,137,-1,,0
20,student,single,unknown,,no,167,no,cellular,237,-1,,0
54,management,divorced,tertiary,,no,380,no,cellular,501,188,,0
49,management,married,tertiary,,no,629,no,cellular,431,-1,,0
49,management,married,tertiary,,no,4594,no,cellular,157,-1,,0
29,student,single,secondary,,no,48,no,cellular,51,-1,,0
36,management,married,tertiary,,no,324,no,cellular,104,-1,,0
47,technician,divorced,secondary,,no,1013,no,cellular,170,92,,1
52,blue-collar,married,primary,,no,2,no,unknown,70,-1,,0
31,unemployed,married,secondary,,no,20,no,telephone,52,-1,,0
32,management,married,tertiary,,no,0,no,cellular,74,-1,,0
29,unemployed,single,tertiary,,no,70,no,cellular,393,-1,,1
26,blue-collar,single,secondary,,no,37,no,cellular,301,-1,,0
57,unemployed,married,secondary,,no,4588,no,cellular,485,-1,,0
46,blue-collar,married,primary,,no,201,no,cellular,163,-1,,0
39,technician,single,secondary,,no,201,no,unknown,148,-1,,0
36,management,married,tertiary,,no,369,no,cellular,193,102,,0
43,technician,married,secondary,,no,136,no,cellular,363,-1,,1
70,retired,married,primary,,no,3230,no,cellular,300,48,,0
43,blue-collar,divorced,secondary,,no,-259,no,cellular,732,171,,0
27,blue-collar,single,secondary,,no,148,no,cellular,203,-1,,0
36,management,married,tertiary,,no,255,no,cellular,970,92,,1
52,technician,married,secondary,,no,526,no,cellular,60,-1,,0
54,housemaid,married,primary,,no,470,no,cellular,104,-1,,0
62,retired,married,secondary,,no,816,no,cellular,28,-1,,0
29,unemployed,single,secondary,,no,875,no,cellular,137,-1,,0
31,unemployed,married,tertiary,,no,591,no,cellular,161,-1,,0
36,technician,married,secondary,,no,278,no,cellular,121,-1,,0
50,admin.,married,secondary,,no,715,no,cellular,131,-1,,0
60,retired,married,tertiary,,no,3461,no,cellular,128,-1,,0
43,admin.,married,unknown,,no,3485,no,unknown,113,-1,,0
51,services,single,unknown,,no,415,no,cellular,210,-1,,0
46,management,married,tertiary,,no,1446,no,cellular,359,-1,,0
28,technician,single,secondary,,no,1363,no,cellular,431,102,,0
43,retired,married,secondary,,no,860,no,telephone,132,-1,,1
39,blue-collar,single,secondary,,no,1961,no,unknown,216,-1,,0
26,admin.,divorced,secondary,,no,1,no,cellular,92,-1,,0
34,technician,married,secondary,,no,298,no,cellular,42,-1,,0
55,services,married,secondary,,no,0,no,cellular,106,-1,,0
44,management,married,tertiary,,no,2876,no,unknown,125,-1,,0
33,entrepreneur,married,secondary,,no,0,no,cellular,224,-1,,0
58,retired,married,secondary,,no,571,no,cellular,54,-1,,0
26,admin.,single,secondary,,no,187,no,cellular,226,-1,,0
59,management,single,tertiary,,no,911,no,unknown,172,-1,,0
38,management,married,tertiary,,no,1,no,cellular,342,-1,,0
30,blue-collar,single,secondary,,no,228,no,cellular,232,365,,0
32,blue-collar,married,secondary,,no,2263,no,cellular,113,-1,,0
52,admin.,married,secondary,,no,350,no,cellular,460,-1,,0
34,technician,married,secondary,,no,22,no,cellular,270,-1,,0
53,management,single,tertiary,,no,0,no,cellular,595,-1,,0
38,blue-collar,single,secondary,,no,340,no,cellular,260,-1,,0
53,management,married,tertiary,,no,618,no,cellular,73,-1,,0
50,management,married,tertiary,,yes,72,no,cellular,171,-1,,0
42,blue-collar,married,secondary,,no,-422,no,cellular,31,-1,,0
38,admin.,single,secondary,,no,-211,no,cellular,166,-1,,0
43,technician,divorced,secondary,,no,1532,no,cellular,61,-1,,0
38,admin.,single,secondary,,no,0,no,cellular,452,-1,,0
36,management,single,tertiary,,no,0,no,cellular,300,96,,0
35,self-employed,single,tertiary,,no,353,no,cellular,582,-1,,1
57,management,married,secondary,,no,0,no,cellular,132,-1,,0
30,admin.,single,tertiary,,no,311,no,cellular,158,-1,,1
59,management,married,tertiary,,no,1069,no,cellular,85,-1,,0
48,unemployed,married,primary,,no,9622,no,cellular,787,-1,,0
61,housemaid,married,primary,,no,368,no,cellular,62,-1,,0
52,housemaid,married,primary,,no,3283,no,unknown,553,-1,,0
52,technician,married,secondary,,no,136,no,cellular,88,-1,,0
41,admin.,married,secondary,,no,4539,no,unknown,298,-1,,0
49,services,married,secondary,,no,388,no,telephone,1032,-1,,1
33,services,married,secondary,,no,0,no,cellular,128,-1,,0
30,management,single,tertiary,,no,414,no,cellular,635,-1,,0
55,blue-collar,married,unknown,,no,7561,no,unknown,685,-1,,1
34,technician,married,secondary,,no,1137,no,cellular,383,206,,0
42,blue-collar,divorced,secondary,,no,1450,no,cellular,394,-1,,0
50,entrepreneur,divorced,tertiary,,no,315,no,cellular,249,119,,0
59,retired,married,secondary,,no,4457,no,cellular,127,-1,,0
56,technician,married,secondary,,no,4073,no,cellular,239,-1,,0
36,services,married,secondary,,no,30,no,cellular,716,-1,,1
55,blue-collar,married,secondary,,no,644,no,cellular,42,-1,,0
27,management,married,tertiary,,no,4909,no,cellular,159,-1,,0
43,management,married,tertiary,,no,1993,no,cellular,37,174,,0
33,management,single,tertiary,,no,191,no,cellular,678,209,,0
45,technician,married,secondary,,no,1629,no,cellular,58,-1,,0
52,blue-collar,married,primary,,no,1949,no,cellular,108,-1,,0
25,student,single,secondary,,no,469,no,cellular,273,86,,1
29,admin.,single,secondary,,no,1277,no,cellular,165,481,,1
33,admin.,married,tertiary,,no,882,no,cellular,104,183,,1
34,management,married,secondary,,no,42,no,cellular,82,-1,,0
31,technician,single,tertiary,,no,454,no,cellular,73,-1,,0
61,retired,married,tertiary,,no,5267,no,cellular,226,-1,,1
35,housemaid,married,tertiary,,no,3831,no,cellular,59,-1,,0
25,admin.,single,tertiary,,no,11,no,cellular,236,-1,,0
25,student,single,secondary,,no,3090,no,cellular,139,-1,,0
38,blue-collar,married,unknown,,no,113,no,unknown,25,-1,,0
52,management,married,primary,,no,324,no,cellular,81,-1,,0
32,management,single,tertiary,,no,2613,no,cellular,520,-1,,0
65,retired,married,unknown,,no,820,no,cellular,432,-1,,0
36,management,married,tertiary,,no,925,no,cellular,321,189,,1
45,admin.,married,secondary,,yes,-571,no,cellular,332,-1,,0
47,admin.,married,secondary,,no,2,no,cellular,89,-1,,0
36,management,single,tertiary,,no,335,no,unknown,5,772,,0
58,technician,married,unknown,,no,-509,no,cellular,239,-1,,0
50,technician,divorced,secondary,,no,2910,no,cellular,364,-1,,0
31,blue-collar,married,tertiary,,no,-35,no,cellular,952,-1,,1
24,admin.,single,secondary,,no,5,no,cellular,66,330,,0
51,admin.,married,secondary,,no,2662,no,telephone,148,-1,,0
35,management,married,tertiary,,no,178,no,cellular,76,-1,,0
31,technician,single,secondary,,no,198,no,cellular,366,-1,,0
38,blue-collar,married,primary,,no,1597,no,telephone,15,-1,,0
50,technician,divorced,unknown,,no,2794,no,cellular,1336,-1,,1
52,technician,married,secondary,,no,0,no,cellular,541,-1,,1
41,technician,married,tertiary,,no,6961,no,cellular,235,-1,,0
47,entrepreneur,divorced,secondary,,no,186,no,cellular,112,-1,,0
32,technician,single,secondary,,no,0,no,cellular,92,-1,,0
41,blue-collar,married,primary,,no,438,no,cellular,46,-1,,0
47,services,married,secondary,,no,459,no,cellular,599,-1,,0
53,technician,single,tertiary,,no,118,no,cellular,431,-1,,0
28,blue-collar,single,secondary,,no,2909,no,cellular,205,-1,,0
36,entrepreneur,married,tertiary,,no,247,no,cellular,351,-1,,0
53,admin.,married,secondary,,no,8449,no,cellular,123,-1,,0
20,student,single,unknown,,no,457,no,cellular,214,-1,,0
35,management,single,tertiary,,no,362,no,cellular,256,-1,,0
52,management,married,secondary,,no,5193,no,cellular,477,-1,,0
47,unemployed,single,primary,,no,289,no,cellular,210,-1,,0
36,blue-collar,married,primary,,no,0,no,unknown,149,-1,,0
59,unemployed,single,secondary,,no,865,no,cellular,1086,-1,,0
58,management,divorced,tertiary,,no,1266,no,unknown,164,-1,,0
37,management,single,tertiary,,no,8066,no,telephone,57,-1,,0
34,student,single,unknown,,no,1281,no,cellular,279,117,,0
41,technician,married,secondary,,no,1819,no,cellular,397,371,,1
53,unknown,married,primary,,no,732,no,cellular,759,-1,,1
24,management,single,tertiary,,no,1085,no,cellular,95,-1,,0
31,services,single,secondary,,no,125,no,cellular,360,-1,,0
27,blue-collar,single,primary,,no,21,no,cellular,197,-1,,0
38,management,married,tertiary,,no,1477,no,cellular,385,769,,1
29,admin.,single,secondary,,no,-133,no,cellular,108,-1,,0
55,admin.,divorced,secondary,,no,0,no,unknown,76,-1,,0
35,blue-collar,married,primary,,no,828,no,unknown,468,-1,,0
36,management,divorced,tertiary,,no,0,no,cellular,247,-1,,0
73,retired,married,primary,,no,279,no,cellular,399,-1,,1
40,blue-collar,single,primary,,no,397,no,unknown,163,-1,,0
35,management,single,tertiary,,no,556,no,cellular,52,-1,,0
32,technician,married,secondary,,no,3095,no,cellular,204,-1,,0
59,admin.,married,primary,,no,1040,no,telephone,733,-1,,0
27,blue-collar,single,secondary,,no,677,no,telephone,110,-1,,0
52,technician,married,secondary,,no,786,no,cellular,310,-1,,0
51,blue-collar,married,secondary,,no,279,no,cellular,64,-1,,0
36,blue-collar,married,primary,,no,1707,no,unknown,190,-1,,0
40,technician,married,tertiary,,no,1554,no,cellular,99,-1,,0
26,admin.,single,secondary,,no,1099,no,cellular,99,225,,0
52,housemaid,married,secondary,,no,14363,no,unknown,132,-1,,0
40,admin.,married,secondary,,no,2199,no,unknown,38,-1,,0
55,management,married,secondary,,no,8592,no,unknown,255,-1,,0
25,services,single,secondary,,no,594,no,cellular,89,-1,,1
49,management,single,tertiary,,no,2555,no,cellular,263,-1,,0
57,retired,married,tertiary,,no,3571,no,unknown,708,-1,,0
52,self-employed,married,secondary,,no,-201,no,cellular,905,133,,0
50,technician,married,secondary,,no,2242,no,cellular,170,-1,,0
41,management,married,secondary,,yes,-771,no,unknown,343,-1,,0
53,blue-collar,married,primary,,yes,-462,no,cellular,470,-1,,1
32,management,single,tertiary,,no,1966,no,cellular,176,-1,,0
32,self-employed,married,secondary,,no,409,no,cellular,217,-1,,1
60,retired,married,secondary,,no,208,no,cellular,70,-1,,0
46,management,married,tertiary,,no,182,no,cellular,317,-1,,0
36,management,divorced,tertiary,,no,59,no,cellular,526,-1,,1
71,retired,divorced,secondary,,no,0,no,cellular,771,171,,1
48,technician,married,secondary,,no,480,no,cellular,371,-1,,0
39,management,divorced,unknown,,no,401,no,unknown,126,-1,,0
52,management,married,secondary,,no,0,no,cellular,249,-1,,0
37,admin.,single,secondary,,no,127,no,cellular,83,-1,,0
36,technician,married,secondary,,no,594,no,cellular,230,-1,,0
59,blue-collar,married,secondary,,no,87,no,unknown,65,-1,,0
48,unknown,married,unknown,,no,286,no,cellular,166,-1,,0
33,blue-collar,single,primary,,yes,-15,no,cellular,326,-1,,0
37,retired,married,secondary,,no,71,no,cellular,254,-1,,0
54,retired,married,primary,,no,1156,no,unknown,64,-1,,0
40,entrepreneur,married,secondary,,no,285,no,cellular,133,-1,,0
45,housemaid,divorced,tertiary,,no,2098,no,unknown,81,-1,,0
33,technician,single,secondary,,no,2481,no,cellular,104,-1,,0
54,technician,married,unknown,,no,1162,no,telephone,37,-1,,0
45,management,single,tertiary,,no,1395,no,cellular,67,-1,,0
30,self-employed,single,secondary,,no,192,no,cellular,423,-1,,0
38,services,divorced,secondary,,no,5873,no,unknown,191,-1,,0
29,admin.,single,tertiary,,no,8,no,cellular,107,-1,,0
39,management,divorced,tertiary,,no,224,no,cellular,208,-1,,1
41,management,married,tertiary,,no,1773,no,unknown,106,-1,,0
59,unemployed,married,primary,,no,13836,no,telephone,733,-1,,0
32,management,married,secondary,,no,251,no,cellular,272,-1,,0
49,blue-collar,married,primary,,no,1,no,cellular,98,210,,0
58,retired,married,secondary,,no,2126,no,cellular,184,-1,,0
52,blue-collar,married,unknown,,no,-4,no,unknown,336,-1,,0
53,services,married,unknown,,no,18,no,unknown,503,-1,,0
43,blue-collar,married,secondary,,no,1035,no,cellular,122,-1,,0
47,technician,married,secondary,,no,2480,no,cellular,763,-1,,1
29,blue-collar,single,secondary,,no,-20,no,cellular,574,-1,,1
59,management,divorced,tertiary,,no,14,no,cellular,114,-1,,0
34,management,married,tertiary,,no,333,no,cellular,170,-1,,0
37,technician,married,secondary,,yes,0,no,unknown,236,-1,,0
44,management,married,tertiary,,no,773,no,cellular,618,-1,,0
25,admin.,single,tertiary,,no,1185,no,cellular,135,-1,,0
26,services,single,tertiary,,no,2803,no,cellular,11,-1,,0
49,admin.,single,secondary,,no,275,no,unknown,14,-1,,0
35,technician,single,tertiary,,no,914,no,unknown,166,-1,,0
30,technician,single,tertiary,,no,411,no,cellular,127,149,,1
46,unemployed,divorced,primary,,no,23,no,cellular,344,-1,,0
39,blue-collar,married,primary,,no,3324,no,cellular,96,131,,0
53,admin.,married,secondary,,no,459,no,cellular,558,-1,,1
46,technician,married,secondary,,no,792,no,unknown,170,-1,,0
29,admin.,single,tertiary,,no,514,no,cellular,270,-1,,0
53,entrepreneur,married,tertiary,,no,71,no,cellular,86,-1,,0
71,retired,married,tertiary,,no,3561,no,telephone,577,-1,,1
51,housemaid,married,secondary,,no,294,no,cellular,640,-1,,0
47,technician,married,secondary,,no,72,no,unknown,278,-1,,0
29,blue-collar,single,secondary,,no,482,no,cellular,168,-1,,0
26,management,single,tertiary,,no,761,no,cellular,362,-1,,0
34,services,married,secondary,,no,0,no,cellular,160,-1,,0
72,retired,married,primary,,no,4657,no,telephone,255,91,,1
41,management,married,secondary,,no,6,no,cellular,123,-1,,0
58,unknown,married,tertiary,,no,327,no,telephone,124,-1,,0
31,management,single,tertiary,,no,0,no,cellular,35,-1,,0
59,technician,married,secondary,,no,2528,no,unknown,216,-1,,0
57,services,married,secondary,,no,-37,no,telephone,31,-1,,0
29,blue-collar,single,primary,,no,343,no,cellular,39,-1,,0
56,blue-collar,married,primary,,no,2442,no,cellular,111,-1,,0
52,unemployed,married,secondary,,no,1416,no,cellular,218,187,,1
44,admin.,married,secondary,,no,1305,no,cellular,72,-1,,0
50,entrepreneur,divorced,tertiary,,no,541,no,cellular,204,-1,,0
60,management,married,tertiary,,no,13360,no,unknown,264,-1,,0
30,technician,single,secondary,,no,3048,no,cellular,223,-1,,0
26,student,single,secondary,,no,611,no,cellular,455,-1,,0
31,management,married,secondary,,no,0,no,cellular,81,-1,,0
52,management,married,secondary,,no,335,no,cellular,411,182,,1
44,management,divorced,tertiary,,no,0,no,cellular,71,-1,,0
53,technician,married,secondary,,no,65,no,cellular,99,92,,0
49,management,married,tertiary,,no,64,no,cellular,208,159,,0
65,technician,married,secondary,,no,2303,no,cellular,95,-1,,0
52,admin.,divorced,secondary,,no,1426,no,cellular,115,-1,,0
42,services,married,secondary,,no,3236,no,unknown,521,-1,,0
32,admin.,single,tertiary,,no,-59,no,unknown,192,-1,,0
31,technician,married,secondary,,no,0,no,cellular,102,-1,,0
58,technician,single,secondary,,no,382,no,cellular,460,-1,,0
35,management,single,tertiary,,no,863,no,cellular,481,-1,,0
78,retired,divorced,unknown,,no,0,no,telephone,259,-1,,0
30,management,single,tertiary,,no,2,no,cellular,269,-1,,0
32,management,single,tertiary,,no,566,no,cellular,114,-1,,0
37,blue-collar,single,tertiary,,no,344,no,unknown,407,-1,,0
30,technician,single,secondary,,yes,-305,no,cellular,108,-1,,0
39,management,married,tertiary,,no,622,no,cellular,181,184,,0
53,admin.,single,secondary,,no,1958,no,telephone,164,-1,,0
77,retired,married,primary,,no,2590,no,telephone,212,277,,1
58,retired,married,secondary,,no,2609,no,cellular,136,-1,,0
35,self-employed,married,secondary,,no,28,no,unknown,159,-1,,0
60,technician,married,secondary,,no,1139,no,cellular,67,207,,0
37,management,married,tertiary,,no,1893,no,cellular,353,-1,,0
57,blue-collar,married,secondary,,no,5553,no,unknown,589,-1,,0
36,blue-collar,married,primary,,no,214,no,unknown,423,-1,,0
53,retired,married,secondary,,no,4968,no,cellular,94,333,,0
58,technician,married,tertiary,,no,289,no,telephone,182,-1,,0
49,retired,married,primary,,no,1381,no,unknown,73,-1,,0
50,services,married,secondary,,no,1126,no,cellular,679,-1,,0
54,housemaid,married,secondary,,no,991,no,telephone,11,-1,,0
53,technician,single,secondary,,no,530,no,telephone,744,-1,,0
31,management,single,tertiary,,no,596,no,cellular,184,196,,0
34,management,single,tertiary,,no,2561,no,cellular,554,-1,,0
48,blue-collar,married,secondary,,no,0,no,cellular,311,-1,,0
39,technician,married,secondary,,no,355,no,cellular,132,-1,,0
36,self-employed,single,tertiary,,no,351,no,cellular,82,-1,,0
48,management,married,tertiary,,no,6613,no,unknown,159,-1,,0
53,blue-collar,married,primary,,no,2295,no,cellular,65,-1,,0
29,services,single,secondary,,no,166,no,cellular,108,-1,,0
39,housemaid,married,primary,,no,15352,no,unknown,99,-1,,0
34,services,single,tertiary,,no,239,no,cellular,699,-1,,0
42,management,divorced,tertiary,,no,497,no,unknown,84,-1,,0
57,management,divorced,unknown,,no,2986,no,unknown,1563,166,,0
53,admin.,married,secondary,,no,769,no,cellular,59,-1,,0
59,retired,married,secondary,,no,667,no,cellular,486,-1,,0
46,blue-collar,married,primary,,no,874,no,cellular,996,-1,,1
52,unknown,married,unknown,,no,5361,no,cellular,607,-1,,1
35,management,single,tertiary,,no,75,no,cellular,122,-1,,0
32,management,single,tertiary,,no,12569,no,cellular,561,295,,1
40,admin.,married,secondary,,no,1614,no,cellular,338,-1,,0
25,blue-collar,single,primary,,no,15,no,cellular,24,-1,,0
32,management,single,tertiary,,no,1431,no,cellular,199,-1,,0
30,management,single,tertiary,,no,1041,no,cellular,68,-1,,0
54,management,divorced,tertiary,,no,496,no,cellular,452,-1,,1
55,unemployed,married,primary,,no,1212,no,cellular,241,92,,0
41,technician,single,secondary,,no,40,no,cellular,149,-1,,0
27,services,single,secondary,,no,387,no,cellular,194,-1,,0
45,blue-collar,married,primary,,no,-60,no,cellular,110,-1,,0
28,blue-collar,married,secondary,,no,17,no,unknown,8,-1,,0
19,student,single,unknown,,no,779,no,cellular,184,-1,,1
35,technician,married,tertiary,,no,489,no,cellular,592,-1,,0
47,self-employed,married,secondary,,no,1803,no,cellular,188,-1,,0
40,blue-collar,married,primary,,no,303,no,unknown,104,-1,,0
40,management,married,tertiary,,no,5142,no,cellular,147,224,,0
39,entrepreneur,married,tertiary,,no,1654,no,cellular,376,-1,,0
30,management,single,tertiary,,no,502,no,cellular,572,-1,,1
35,blue-collar,married,secondary,,no,86,no,cellular,127,111,,0
42,technician,divorced,secondary,,no,19,no,cellular,875,-1,,1
64,blue-collar,married,primary,,no,1904,no,telephone,67,-1,,0
38,management,divorced,tertiary,,no,162,no,cellular,323,-1,,0
58,housemaid,married,primary,,no,0,no,cellular,334,79,,0
27,student,single,secondary,,no,91,no,telephone,157,95,,0
28,management,married,tertiary,,no,1246,no,cellular,239,-1,,0
27,blue-collar,single,secondary,,no,113,no,cellular,39,-1,,0
49,blue-collar,married,secondary,,no,141,no,cellular,275,-1,,0
41,management,married,tertiary,,no,7028,no,cellular,98,-1,,0
50,management,divorced,secondary,,no,458,no,cellular,184,-1,,0
34,admin.,married,secondary,,no,920,no,cellular,526,179,,1
27,blue-collar,married,secondary,,no,1024,no,cellular,280,-1,,0
40,services,divorced,secondary,,no,0,no,unknown,111,-1,,0
43,management,married,tertiary,,no,1188,no,cellular,140,-1,,0
54,retired,married,secondary,,no,-488,no,unknown,172,-1,,0
40,management,married,tertiary,,no,2014,no,cellular,209,-1,,0
40,management,married,tertiary,,no,-65,no,cellular,65,-1,,0
33,management,married,tertiary,,no,901,no,cellular,76,-1,,0
